id,title,subject,topic,year_group,year_band,diagram_type,description,style_notes,tags,source,curated,image_url,asset_ref
pdl-0012,Double ten frame — 10 counters,Mathematics,Counting and place value,Year 2,KS1,diagram_a,"Two stacked ten frames with 10 counters in total (first frame full, second has 0).","Numbers in clear sans-serif (Andika), high contrast, generous spacing","[""ten-frame"",""counting"",""place-value""]",Adaptly Primary Catalogue,0,,
pdl-0013,Double ten frame — 11 counters,Mathematics,Counting and place value,Year 2,KS1,diagram_a,"Two stacked ten frames with 11 counters in total (first frame full, second has 1).","Numbers in clear sans-serif (Andika), high contrast, generous spacing","[""ten-frame"",""counting"",""place-value""]",Adaptly Primary Catalogue,0,,
pdl-0014,Double ten frame — 12 counters,Mathematics,Counting and place value,Year 2,KS1,diagram_a,"Two stacked ten frames with 12 counters in total (first frame full, second has 2).","Numbers in clear sans-serif (Andika), high contrast, generous spacing","[""ten-frame"",""counting"",""place-value""]",Adaptly Primary Catalogue,0,,
pdl-0015,Double ten frame — 13 counters,Mathematics,Counting and place value,Year 2,KS1,diagram_a,"Two stacked ten frames with 13 counters in total (first frame full, second has 3).","Numbers in clear sans-serif (Andika), high contrast, generous spacing","[""ten-frame"",""counting"",""place-value""]",Adaptly Primary Catalogue,0,,
pdl-0016,Double ten frame — 14 counters,Mathematics,Counting and place value,Year 2,KS1,diagram_a,"Two stacked ten frames with 14 counters in total (first frame full, second has 4).","Numbers in clear sans-serif (Andika), high contrast, generous spacing","[""ten-frame"",""counting"",""place-value""]",Adaptly Primary Catalogue,0,,
pdl-0017,Double ten frame — 15 counters,Mathematics,Counting and place value,Year 2,KS1,diagram_a,"Two stacked ten frames with 15 counters in total (first frame full, second has 5).","Numbers in clear sans-serif (Andika), high contrast, generous spacing","[""ten-frame"",""counting"",""place-value""]",Adaptly Primary Catalogue,0,,
pdl-0018,Double ten frame — 16 counters,Mathematics,Counting and place value,Year 2,KS1,diagram_a,"Two stacked ten frames with 16 counters in total (first frame full, second has 6).","Numbers in clear sans-serif (Andika), high contrast, generous spacing","[""ten-frame"",""counting"",""place-value""]",Adaptly Primary Catalogue,0,,
pdl-0019,Double ten frame — 17 counters,Mathematics,Counting and place value,Year 2,KS1,diagram_a,"Two stacked ten frames with 17 counters in total (first frame full, second has 7).","Numbers in clear sans-serif (Andika), high contrast, generous spacing","[""ten-frame"",""counting"",""place-value""]",Adaptly Primary Catalogue,0,,
pdl-0020,Double ten frame — 18 counters,Mathematics,Counting and place value,Year 2,KS1,diagram_a,"Two stacked ten frames with 18 counters in total (first frame full, second has 8).","Numbers in clear sans-serif (Andika), high contrast, generous spacing","[""ten-frame"",""counting"",""place-value""]",Adaptly Primary Catalogue,0,,
pdl-0021,Double ten frame — 19 counters,Mathematics,Counting and place value,Year 2,KS1,diagram_a,"Two stacked ten frames with 19 counters in total (first frame full, second has 9).","Numbers in clear sans-serif (Andika), high contrast, generous spacing","[""ten-frame"",""counting"",""place-value""]",Adaptly Primary Catalogue,0,,
pdl-0022,Double ten frame — 20 counters,Mathematics,Counting and place value,Year 2,KS1,diagram_a,"Two stacked ten frames with 20 counters in total (first frame full, second has 10).","Numbers in clear sans-serif (Andika), high contrast, generous spacing","[""ten-frame"",""counting"",""place-value""]",Adaptly Primary Catalogue,0,,
pdl-0023,Number line 0–10 — arrow on 0,Mathematics,Counting and place value,Year 1,KS1,diagram_a,Horizontal number line marked 0 to 10 with a downward arrow indicator above 0.,"Black baseline, blue arrow, large numerals, equal tick spacing","[""number-line"",""counting"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0024,Number line 0–10 — arrow on 1,Mathematics,Counting and place value,Year 1,KS1,diagram_a,Horizontal number line marked 0 to 10 with a downward arrow indicator above 1.,"Black baseline, blue arrow, large numerals, equal tick spacing","[""number-line"",""counting"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0025,Number line 0–10 — arrow on 2,Mathematics,Counting and place value,Year 1,KS1,diagram_a,Horizontal number line marked 0 to 10 with a downward arrow indicator above 2.,"Black baseline, blue arrow, large numerals, equal tick spacing","[""number-line"",""counting"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0026,Number line 0–10 — arrow on 3,Mathematics,Counting and place value,Year 1,KS1,diagram_a,Horizontal number line marked 0 to 10 with a downward arrow indicator above 3.,"Black baseline, blue arrow, large numerals, equal tick spacing","[""number-line"",""counting"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0027,Number line 0–10 — arrow on 4,Mathematics,Counting and place value,Year 1,KS1,diagram_a,Horizontal number line marked 0 to 10 with a downward arrow indicator above 4.,"Black baseline, blue arrow, large numerals, equal tick spacing","[""number-line"",""counting"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0028,Number line 0–10 — arrow on 5,Mathematics,Counting and place value,Year 1,KS1,diagram_a,Horizontal number line marked 0 to 10 with a downward arrow indicator above 5.,"Black baseline, blue arrow, large numerals, equal tick spacing","[""number-line"",""counting"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0029,Number line 0–10 — arrow on 6,Mathematics,Counting and place value,Year 1,KS1,diagram_a,Horizontal number line marked 0 to 10 with a downward arrow indicator above 6.,"Black baseline, blue arrow, large numerals, equal tick spacing","[""number-line"",""counting"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0030,Number line 0–10 — arrow on 7,Mathematics,Counting and place value,Year 1,KS1,diagram_a,Horizontal number line marked 0 to 10 with a downward arrow indicator above 7.,"Black baseline, blue arrow, large numerals, equal tick spacing","[""number-line"",""counting"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0031,Number line 0–10 — arrow on 8,Mathematics,Counting and place value,Year 1,KS1,diagram_a,Horizontal number line marked 0 to 10 with a downward arrow indicator above 8.,"Black baseline, blue arrow, large numerals, equal tick spacing","[""number-line"",""counting"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0032,Number line 0–10 — arrow on 9,Mathematics,Counting and place value,Year 1,KS1,diagram_a,Horizontal number line marked 0 to 10 with a downward arrow indicator above 9.,"Black baseline, blue arrow, large numerals, equal tick spacing","[""number-line"",""counting"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0033,Number line 0–10 — arrow on 10,Mathematics,Counting and place value,Year 1,KS1,diagram_a,Horizontal number line marked 0 to 10 with a downward arrow indicator above 10.,"Black baseline, blue arrow, large numerals, equal tick spacing","[""number-line"",""counting"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0034,Number line 0–20 — arrow on 0,Mathematics,Counting and place value,Year 2,KS1,diagram_a,Horizontal number line marked 0 to 20 with an arrow indicator above 0.,"Numbers in clear sans-serif (Andika), high contrast, generous spacing","[""number-line"",""counting"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0035,Number line 0–20 — arrow on 2,Mathematics,Counting and place value,Year 2,KS1,diagram_a,Horizontal number line marked 0 to 20 with an arrow indicator above 2.,"Numbers in clear sans-serif (Andika), high contrast, generous spacing","[""number-line"",""counting"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0036,Number line 0–20 — arrow on 4,Mathematics,Counting and place value,Year 2,KS1,diagram_a,Horizontal number line marked 0 to 20 with an arrow indicator above 4.,"Numbers in clear sans-serif (Andika), high contrast, generous spacing","[""number-line"",""counting"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0037,Number line 0–20 — arrow on 6,Mathematics,Counting and place value,Year 2,KS1,diagram_a,Horizontal number line marked 0 to 20 with an arrow indicator above 6.,"Numbers in clear sans-serif (Andika), high contrast, generous spacing","[""number-line"",""counting"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0038,Number line 0–20 — arrow on 8,Mathematics,Counting and place value,Year 2,KS1,diagram_a,Horizontal number line marked 0 to 20 with an arrow indicator above 8.,"Numbers in clear sans-serif (Andika), high contrast, generous spacing","[""number-line"",""counting"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0039,Number line 0–20 — arrow on 10,Mathematics,Counting and place value,Year 2,KS1,diagram_a,Horizontal number line marked 0 to 20 with an arrow indicator above 10.,"Numbers in clear sans-serif (Andika), high contrast, generous spacing","[""number-line"",""counting"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0040,Number line 0–20 — arrow on 12,Mathematics,Counting and place value,Year 2,KS1,diagram_a,Horizontal number line marked 0 to 20 with an arrow indicator above 12.,"Numbers in clear sans-serif (Andika), high contrast, generous spacing","[""number-line"",""counting"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0041,Number line 0–20 — arrow on 14,Mathematics,Counting and place value,Year 2,KS1,diagram_a,Horizontal number line marked 0 to 20 with an arrow indicator above 14.,"Numbers in clear sans-serif (Andika), high contrast, generous spacing","[""number-line"",""counting"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0042,Number line 0–20 — arrow on 16,Mathematics,Counting and place value,Year 2,KS1,diagram_a,Horizontal number line marked 0 to 20 with an arrow indicator above 16.,"Numbers in clear sans-serif (Andika), high contrast, generous spacing","[""number-line"",""counting"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0043,Number line 0–20 — arrow on 18,Mathematics,Counting and place value,Year 2,KS1,diagram_a,Horizontal number line marked 0 to 20 with an arrow indicator above 18.,"Numbers in clear sans-serif (Andika), high contrast, generous spacing","[""number-line"",""counting"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0044,Number line 0–20 — arrow on 20,Mathematics,Counting and place value,Year 2,KS1,diagram_a,Horizontal number line marked 0 to 20 with an arrow indicator above 20.,"Numbers in clear sans-serif (Andika), high contrast, generous spacing","[""number-line"",""counting"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0045,Counting set — 1 frogs,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A row of 1 cartoon green frogs sitting on a lily pad, evenly spaced for one-to-one counting.","Cute illustrated motif, single colour fill, clear silhouette","[""counting"",""one-to-one"",""frogs"",""KS1""]",Adaptly Primary Catalogue,0,,
pdl-0046,Counting set — 2 frogs,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A row of 2 cartoon green frogs sitting on a lily pad, evenly spaced for one-to-one counting.","Cute illustrated motif, single colour fill, clear silhouette","[""counting"",""one-to-one"",""frogs"",""KS1""]",Adaptly Primary Catalogue,0,,
pdl-0047,Counting set — 3 frogs,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A row of 3 cartoon green frogs sitting on a lily pad, evenly spaced for one-to-one counting.","Cute illustrated motif, single colour fill, clear silhouette","[""counting"",""one-to-one"",""frogs"",""KS1""]",Adaptly Primary Catalogue,0,,
pdl-0048,Counting set — 4 frogs,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A row of 4 cartoon green frogs sitting on a lily pad, evenly spaced for one-to-one counting.","Cute illustrated motif, single colour fill, clear silhouette","[""counting"",""one-to-one"",""frogs"",""KS1""]",Adaptly Primary Catalogue,0,,
pdl-0049,Counting set — 5 frogs,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A row of 5 cartoon green frogs sitting on a lily pad, evenly spaced for one-to-one counting.","Cute illustrated motif, single colour fill, clear silhouette","[""counting"",""one-to-one"",""frogs"",""KS1""]",Adaptly Primary Catalogue,0,,
pdl-0050,Counting set — 6 frogs,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A row of 6 cartoon green frogs sitting on a lily pad, evenly spaced for one-to-one counting.","Cute illustrated motif, single colour fill, clear silhouette","[""counting"",""one-to-one"",""frogs"",""KS1""]",Adaptly Primary Catalogue,0,,
pdl-0051,Counting set — 7 frogs,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A row of 7 cartoon green frogs sitting on a lily pad, evenly spaced for one-to-one counting.","Cute illustrated motif, single colour fill, clear silhouette","[""counting"",""one-to-one"",""frogs"",""KS1""]",Adaptly Primary Catalogue,0,,
pdl-0052,Counting set — 8 frogs,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A row of 8 cartoon green frogs sitting on a lily pad, evenly spaced for one-to-one counting.","Cute illustrated motif, single colour fill, clear silhouette","[""counting"",""one-to-one"",""frogs"",""KS1""]",Adaptly Primary Catalogue,0,,
pdl-0053,Counting set — 9 frogs,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A row of 9 cartoon green frogs sitting on a lily pad, evenly spaced for one-to-one counting.","Cute illustrated motif, single colour fill, clear silhouette","[""counting"",""one-to-one"",""frogs"",""KS1""]",Adaptly Primary Catalogue,0,,
pdl-0054,Counting set — 10 frogs,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A row of 10 cartoon green frogs sitting on a lily pad, evenly spaced for one-to-one counting.","Cute illustrated motif, single colour fill, clear silhouette","[""counting"",""one-to-one"",""frogs"",""KS1""]",Adaptly Primary Catalogue,0,,
pdl-0055,Counting set — 1 apples,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A row of 1 red apples with a green leaf, evenly spaced for one-to-one counting.","Cute illustrated motif, single colour fill, clear silhouette","[""counting"",""one-to-one"",""apples"",""KS1""]",Adaptly Primary Catalogue,0,,
pdl-0056,Counting set — 2 apples,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A row of 2 red apples with a green leaf, evenly spaced for one-to-one counting.","Cute illustrated motif, single colour fill, clear silhouette","[""counting"",""one-to-one"",""apples"",""KS1""]",Adaptly Primary Catalogue,0,,
pdl-0057,Counting set — 3 apples,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A row of 3 red apples with a green leaf, evenly spaced for one-to-one counting.","Cute illustrated motif, single colour fill, clear silhouette","[""counting"",""one-to-one"",""apples"",""KS1""]",Adaptly Primary Catalogue,0,,
pdl-0058,Counting set — 4 apples,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A row of 4 red apples with a green leaf, evenly spaced for one-to-one counting.","Cute illustrated motif, single colour fill, clear silhouette","[""counting"",""one-to-one"",""apples"",""KS1""]",Adaptly Primary Catalogue,0,,
pdl-0059,Counting set — 5 apples,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A row of 5 red apples with a green leaf, evenly spaced for one-to-one counting.","Cute illustrated motif, single colour fill, clear silhouette","[""counting"",""one-to-one"",""apples"",""KS1""]",Adaptly Primary Catalogue,0,,
pdl-0060,Counting set — 6 apples,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A row of 6 red apples with a green leaf, evenly spaced for one-to-one counting.","Cute illustrated motif, single colour fill, clear silhouette","[""counting"",""one-to-one"",""apples"",""KS1""]",Adaptly Primary Catalogue,0,,
pdl-0061,Counting set — 7 apples,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A row of 7 red apples with a green leaf, evenly spaced for one-to-one counting.","Cute illustrated motif, single colour fill, clear silhouette","[""counting"",""one-to-one"",""apples"",""KS1""]",Adaptly Primary Catalogue,0,,
pdl-0062,Counting set — 8 apples,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A row of 8 red apples with a green leaf, evenly spaced for one-to-one counting.","Cute illustrated motif, single colour fill, clear silhouette","[""counting"",""one-to-one"",""apples"",""KS1""]",Adaptly Primary Catalogue,0,,
pdl-0063,Counting set — 9 apples,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A row of 9 red apples with a green leaf, evenly spaced for one-to-one counting.","Cute illustrated motif, single colour fill, clear silhouette","[""counting"",""one-to-one"",""apples"",""KS1""]",Adaptly Primary Catalogue,0,,
pdl-0064,Counting set — 10 apples,Mathematics,Counting and place value,Year 1,KS1,diagram_a,"A row of 10 red apples with a green leaf, evenly spaced for one-to-one counting.","Cute illustrated motif, single colour fill, clear silhouette","[""counting"",""one-to-one"",""apples"",""KS1""]",Adaptly Primary Catalogue,0,,
pdl-0065,Number bond cherry — 0 and 10 make 10,Mathematics,Number bonds,Year 1,KS1,diagram_a,"Cherry-style part-whole diagram. Whole = 10 at the top, two parts 0 and 10 at the bottom, joined by lines.","Green stem, two red cherries, dotted joining lines","[""number-bond"",""part-whole"",""addition""]",Adaptly Primary Catalogue,0,,
pdl-0066,Number bond cherry — 1 and 9 make 10,Mathematics,Number bonds,Year 1,KS1,diagram_a,"Cherry-style part-whole diagram. Whole = 10 at the top, two parts 1 and 9 at the bottom, joined by lines.","Green stem, two red cherries, dotted joining lines","[""number-bond"",""part-whole"",""addition""]",Adaptly Primary Catalogue,0,,
pdl-0067,Number bond cherry — 2 and 8 make 10,Mathematics,Number bonds,Year 1,KS1,diagram_a,"Cherry-style part-whole diagram. Whole = 10 at the top, two parts 2 and 8 at the bottom, joined by lines.","Green stem, two red cherries, dotted joining lines","[""number-bond"",""part-whole"",""addition""]",Adaptly Primary Catalogue,0,,
pdl-0068,Number bond cherry — 3 and 7 make 10,Mathematics,Number bonds,Year 1,KS1,diagram_a,"Cherry-style part-whole diagram. Whole = 10 at the top, two parts 3 and 7 at the bottom, joined by lines.","Green stem, two red cherries, dotted joining lines","[""number-bond"",""part-whole"",""addition""]",Adaptly Primary Catalogue,0,,
pdl-0069,Number bond cherry — 4 and 6 make 10,Mathematics,Number bonds,Year 1,KS1,diagram_a,"Cherry-style part-whole diagram. Whole = 10 at the top, two parts 4 and 6 at the bottom, joined by lines.","Green stem, two red cherries, dotted joining lines","[""number-bond"",""part-whole"",""addition""]",Adaptly Primary Catalogue,0,,
pdl-0070,Number bond cherry — 5 and 5 make 10,Mathematics,Number bonds,Year 1,KS1,diagram_a,"Cherry-style part-whole diagram. Whole = 10 at the top, two parts 5 and 5 at the bottom, joined by lines.","Green stem, two red cherries, dotted joining lines","[""number-bond"",""part-whole"",""addition""]",Adaptly Primary Catalogue,0,,
pdl-0071,Number bond cherry — 6 and 4 make 10,Mathematics,Number bonds,Year 1,KS1,diagram_a,"Cherry-style part-whole diagram. Whole = 10 at the top, two parts 6 and 4 at the bottom, joined by lines.","Green stem, two red cherries, dotted joining lines","[""number-bond"",""part-whole"",""addition""]",Adaptly Primary Catalogue,0,,
pdl-0072,Number bond cherry — 7 and 3 make 10,Mathematics,Number bonds,Year 1,KS1,diagram_a,"Cherry-style part-whole diagram. Whole = 10 at the top, two parts 7 and 3 at the bottom, joined by lines.","Green stem, two red cherries, dotted joining lines","[""number-bond"",""part-whole"",""addition""]",Adaptly Primary Catalogue,0,,
pdl-0073,Number bond cherry — 8 and 2 make 10,Mathematics,Number bonds,Year 1,KS1,diagram_a,"Cherry-style part-whole diagram. Whole = 10 at the top, two parts 8 and 2 at the bottom, joined by lines.","Green stem, two red cherries, dotted joining lines","[""number-bond"",""part-whole"",""addition""]",Adaptly Primary Catalogue,0,,
pdl-0074,Number bond cherry — 9 and 1 make 10,Mathematics,Number bonds,Year 1,KS1,diagram_a,"Cherry-style part-whole diagram. Whole = 10 at the top, two parts 9 and 1 at the bottom, joined by lines.","Green stem, two red cherries, dotted joining lines","[""number-bond"",""part-whole"",""addition""]",Adaptly Primary Catalogue,0,,
pdl-0075,Number bond cherry — 10 and 0 make 10,Mathematics,Number bonds,Year 1,KS1,diagram_a,"Cherry-style part-whole diagram. Whole = 10 at the top, two parts 10 and 0 at the bottom, joined by lines.","Green stem, two red cherries, dotted joining lines","[""number-bond"",""part-whole"",""addition""]",Adaptly Primary Catalogue,0,,
pdl-0076,Number bond cherry — 0 and 20 make 20,Mathematics,Number bonds,Year 2,KS1,diagram_a,"Part-whole cherry. Whole = 20, parts 0 and 20.","Green stem, two red cherries","[""number-bond"",""part-whole"",""addition""]",Adaptly Primary Catalogue,0,,
pdl-0077,Number bond cherry — 1 and 19 make 20,Mathematics,Number bonds,Year 2,KS1,diagram_a,"Part-whole cherry. Whole = 20, parts 1 and 19.","Green stem, two red cherries","[""number-bond"",""part-whole"",""addition""]",Adaptly Primary Catalogue,0,,
pdl-0078,Number bond cherry — 2 and 18 make 20,Mathematics,Number bonds,Year 2,KS1,diagram_a,"Part-whole cherry. Whole = 20, parts 2 and 18.","Green stem, two red cherries","[""number-bond"",""part-whole"",""addition""]",Adaptly Primary Catalogue,0,,
pdl-0079,Number bond cherry — 3 and 17 make 20,Mathematics,Number bonds,Year 2,KS1,diagram_a,"Part-whole cherry. Whole = 20, parts 3 and 17.","Green stem, two red cherries","[""number-bond"",""part-whole"",""addition""]",Adaptly Primary Catalogue,0,,
pdl-0080,Number bond cherry — 4 and 16 make 20,Mathematics,Number bonds,Year 2,KS1,diagram_a,"Part-whole cherry. Whole = 20, parts 4 and 16.","Green stem, two red cherries","[""number-bond"",""part-whole"",""addition""]",Adaptly Primary Catalogue,0,,
pdl-0081,Number bond cherry — 5 and 15 make 20,Mathematics,Number bonds,Year 2,KS1,diagram_a,"Part-whole cherry. Whole = 20, parts 5 and 15.","Green stem, two red cherries","[""number-bond"",""part-whole"",""addition""]",Adaptly Primary Catalogue,0,,
pdl-0082,Number bond cherry — 6 and 14 make 20,Mathematics,Number bonds,Year 2,KS1,diagram_a,"Part-whole cherry. Whole = 20, parts 6 and 14.","Green stem, two red cherries","[""number-bond"",""part-whole"",""addition""]",Adaptly Primary Catalogue,0,,
pdl-0083,Number bond cherry — 7 and 13 make 20,Mathematics,Number bonds,Year 2,KS1,diagram_a,"Part-whole cherry. Whole = 20, parts 7 and 13.","Green stem, two red cherries","[""number-bond"",""part-whole"",""addition""]",Adaptly Primary Catalogue,0,,
pdl-0084,Number bond cherry — 8 and 12 make 20,Mathematics,Number bonds,Year 2,KS1,diagram_a,"Part-whole cherry. Whole = 20, parts 8 and 12.","Green stem, two red cherries","[""number-bond"",""part-whole"",""addition""]",Adaptly Primary Catalogue,0,,
pdl-0085,Number bond cherry — 9 and 11 make 20,Mathematics,Number bonds,Year 2,KS1,diagram_a,"Part-whole cherry. Whole = 20, parts 9 and 11.","Green stem, two red cherries","[""number-bond"",""part-whole"",""addition""]",Adaptly Primary Catalogue,0,,
pdl-0086,Number bond cherry — 10 and 10 make 20,Mathematics,Number bonds,Year 2,KS1,diagram_a,"Part-whole cherry. Whole = 20, parts 10 and 10.","Green stem, two red cherries","[""number-bond"",""part-whole"",""addition""]",Adaptly Primary Catalogue,0,,
pdl-0087,Bar model — whole 5 (3 + 2),Mathematics,Bar models,Year 1,KS1,diagram_a,Bar model — whole 5 (3 + 2),"Two-tone bar, equal-height blocks, labelled with numbers","[""bar-model"",""part-whole"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0088,Bar model — whole 6 (4 + 2),Mathematics,Bar models,Year 1,KS1,diagram_a,Bar model — whole 6 (4 + 2),"Two-tone bar, equal-height blocks, labelled with numbers","[""bar-model"",""part-whole"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0089,Bar model — whole 7 (3 + 4),Mathematics,Bar models,Year 1,KS1,diagram_a,Bar model — whole 7 (3 + 4),"Two-tone bar, equal-height blocks, labelled with numbers","[""bar-model"",""part-whole"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0090,Bar model — whole 8 (5 + 3),Mathematics,Bar models,Year 1,KS1,diagram_a,Bar model — whole 8 (5 + 3),"Two-tone bar, equal-height blocks, labelled with numbers","[""bar-model"",""part-whole"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0091,Bar model — whole 9 (6 + 3),Mathematics,Bar models,Year 1,KS1,diagram_a,Bar model — whole 9 (6 + 3),"Two-tone bar, equal-height blocks, labelled with numbers","[""bar-model"",""part-whole"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0092,Bar model — whole 10 (7 + 3),Mathematics,Bar models,Year 1,KS1,diagram_a,Bar model — whole 10 (7 + 3),"Two-tone bar, equal-height blocks, labelled with numbers","[""bar-model"",""part-whole"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
pdl-0093,Bar model — whole 12 (7 + 5),Mathematics,Bar models,Year 1,KS1,diagram_a,Bar model — whole 12 (7 + 5),"Two-tone bar, equal-height blocks, labelled with numbers","[""bar-model"",""part-whole"",""addition"",""subtraction""]",Adaptly Primary Catalogue,0,,
