"Path","LineNumber","Line"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","831","                                await fetch(`/api/admin/breach-log/${b.id}`, { method: ""PATCH"", credentials: ""include"", headers: { ""Content-Type"": ""application/json"" }, body: JSON.stringify({ ico_notified: 1 }) });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","838","                                await fetch(`/api/admin/breach-log/${b.id}`, { method: ""PATCH"", credentials: ""include"", headers: { ""Content-Type"": ""application/json"" }, body: JSON.stringify({ status: ""resolved"", resolved_at: new Date().toISOString() }) });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","1005","                          const r = await fetch(""/api/admin/super/invoice"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","1087","                                const r = await fetch(`/api/admin/super/schools/${school.id}/activity`, { credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","1101","                                await fetch(`/api/admin/super/schools/${school.id}/subscription`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","1168","                            const r = await fetch(`/api/admin/super/users/${u.id}`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","1189","                            const r = await fetch(`/api/admin/super/users/${u.id}`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","1205","                            const r = await fetch(`/api/admin/super/users/${u.id}`, { method: ""DELETE"", credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","1296","      const r = await fetch(`/api/library/entries/${id}`, { credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","1332","      const r = await fetch(`/api/library/entries/${reingestTarget.id}/reingest-teacher`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","1355","      const r = await fetch(""/api/library/entries"", { credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","1368","      const r = await fetch(`/api/library/entries/${id}/curate`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","1384","      const r = await fetch(`/api/library/entries/${id}`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","1409","      const r = await fetch(""/api/library/ingest-pdf"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","1462","      const r = await fetch(""/api/library/entries"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","1883","      const res = await fetch(""/api/presentation-library/entries"", { credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","1894","    await fetch(`/api/presentation-library/entries/${id}`, { method: ""DELETE"", credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","1899","    await fetch(`/api/presentation-library/entries/${id}/curate`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","1910","      const res = await fetch(`/api/presentation-library/entries/${entry.id}`, { credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","2071","      const res = await fetch(""/api/diagram-library/entries"", { credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","2081","    await fetch(`/api/diagram-library/entries/${id}`, { method: ""DELETE"", credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","2085","    await fetch(`/api/diagram-library/entries/${id}/curate`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\AdminPanel.tsx","2093","    await fetch(`/api/diagram-library/entries/${id}/type`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Analytics.tsx","109","    fetch(""/api/quiz/results"", { credentials: ""include"" })"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Children.tsx","43","      const res = await fetch(`/api/parent-messages/${childId}`, { credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Children.tsx","56","      const res = await fetch(`/api/parent-messages/${childId}`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Children.tsx","308","          const res = await fetch(""/api/admin/senco-report"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Children.tsx","318","          const res = await fetch(`/api/gdpr/pupils/${pupilId}/export`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Children.tsx","384","      const res = await fetch(""/api/mis/import-csv"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Children.tsx","507","          const res = await fetch(""/api/ai/generate"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\DailyBriefing.tsx","308","      const res = await fetch(`/api/briefing?date=${date}`, { headers: getAuthHeader(), credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\DailyBriefing.tsx","324","        const res = await fetch(`/api/briefing/dates?month=${month}`, { headers: getAuthHeader(), credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\DailyBriefing.tsx","361","      const res = await fetch(url, { method, headers: getAuthHeader(), body: fd, credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\DailyBriefing.tsx","379","      const res = await fetch(`/api/briefing/${id}`, { method: ""DELETE"", headers: getAuthHeader(), credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\History.tsx","265","        fetch(`/api/data/worksheets/${id}`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\History.tsx","284","          const res = await fetch(`/api/data/worksheets/${wsId}/share`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Ideas.tsx","26","      const res = await fetch(""/api/feedback"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Login.tsx","135","      await fetch(""/api/auth/resend-verification"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Login.tsx","157","      const res = await fetch(""/api/auth/register"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Onboarding.tsx","88","        await fetch(""/api/school-keys"", { method: ""POST"", headers: { ""Content-Type"": ""application/json"" }, credentials: ""include"", body: JSON.stringify({ provider: entry.provider, providerLabel: entry.providerLabel, apiKey: entry.apiKey, model: entry.model, baseUrl: entry.baseUrl || undefined }) });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\ParentPortal.tsx","56","      const res = await fetch(`/api/parent-messages/${childId}`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\ParentPortal.tsx","77","      const res = await fetch(`/api/parent-messages/${childId}`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\ParentPortal.tsx","532","        fetch(`/api/data/parent/behaviour/${found.id}`, { credentials: ""include"" }).then(r => r.ok ? r.json() : []),"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\ParentPortal.tsx","533","        fetch(`/api/data/parent/support-plans/${found.id}`, { credentials: ""include"" }).then(r => r.ok ? r.json() : []),"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\ParentPortal.tsx","611","        const res = await fetch(""/api/ai/generate"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\PupilComments.tsx","121","        fetch(""/api/mis/comments?limit=200"", { headers: getAuthHeader(), credentials: ""include"" }),"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\PupilComments.tsx","164","      const res = await fetch(""/api/mis/comments"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\PupilComments.tsx","192","      const res = await fetch(`/api/mis/comments/${id}`, { method: ""DELETE"", headers: getAuthHeader(), credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\QuizBuilder.tsx","60","    fetch(`/api/quiz/custom/${editId}`, { headers: getAuthHeader(), credentials: ""include"" })"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\QuizBuilder.tsx","112","      const res = await fetch(""/api/quiz/generate-from-doc"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\QuizBuilder.tsx","142","      const res = await fetch(url, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\QuizGame.tsx","242","      const res = await fetch(`/api/quiz/rooms/${code}`, { headers: getAuthHeader(), credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\QuizGame.tsx","282","      const res = await fetch(""/api/quiz/custom"", { headers: getAuthHeader(), credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\QuizGame.tsx","291","      const res = await fetch(""/api/quiz/rooms"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\QuizGame.tsx","315","      const res = await fetch(`/api/quiz/custom/${quizId}`, { headers: getAuthHeader(), credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\QuizGame.tsx","331","      const res = await fetch(`/api/quiz/rooms/${roomCode}/start`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\QuizGame.tsx","345","      const res = await fetch(`/api/quiz/rooms/${roomCode}/next`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\QuizGame.tsx","360","      await fetch(`/api/quiz/rooms/${roomCode}`, { method: ""DELETE"", headers: getAuthHeader(), credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\QuizJoin.tsx","79","      const res = await fetch(`/api/quiz/rooms/${code}`, { credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\QuizJoin.tsx","126","      const res = await fetch(`/api/quiz/rooms/${code}/join`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\QuizJoin.tsx","147","      const res = await fetch(`/api/quiz/rooms/${joinedCode}/answer`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\RevisionHub.tsx","72","  const res = await fetch(`/api/revision${path}`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\RevisionHub.tsx","273","        const res = await fetch(""/api/revision/tts"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\RevisionHub.tsx","424","      const res = await fetch(""/api/revision/upload"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\RevisionHub.tsx","443","        const pollRes = await fetch(`/api/revision/job/${jobId}`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Settings.tsx","193","    fetch(""/api/mis/status"", { headers: getAuthHeader(), credentials: ""include"" })"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Settings.tsx","206","      const res = await fetch(""/api/mis/save-key"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Settings.tsx","227","      const res = await fetch(`/api/mis/remove-key/${provider}`, { method: ""DELETE"", headers: getAuthHeader(), credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Settings.tsx","239","      const res = await fetch(`/api/mis/sync/${provider}`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Settings.tsx","262","      const res = await fetch(""/api/mis/sync-demo"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Settings.tsx","1087","      const res = await fetch(""/api/school-keys"", { headers: { ...getAuthHeader() } });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Settings.tsx","1096","      const res = await fetch(""/api/auth/sessions"", { headers: { ...getAuthHeader() } });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Settings.tsx","1104","      const res = await fetch(""/api/extras/referral"", { headers: { ...getAuthHeader() } });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Settings.tsx","1118","      await fetch(`/api/auth/sessions/${id}`, { method: ""DELETE"", headers: { ...getAuthHeader() } });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Settings.tsx","1127","      await fetch(""/api/auth/sessions"", { method: ""DELETE"", headers: { ...getAuthHeader() } });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Settings.tsx","1135","      const res = await fetch(""/api/gdpr/school/export"", { headers: { ...getAuthHeader() } });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Settings.tsx","1160","      const res = await fetch(url, { method, headers: { ""Content-Type"": ""application/json"", ...getAuthHeader() }, body: JSON.stringify(body) });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Settings.tsx","1173","      const res = await fetch(`/api/school-keys/${keyId}`, { method: ""DELETE"", headers: { ...getAuthHeader() } });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Settings.tsx","1183","      const res = await fetch(""/api/school-keys"", { method: ""POST"", headers: { ""Content-Type"": ""application/json"", ...getAuthHeader() }, body: JSON.stringify({ provider: id, providerLabel: customProvider.label, apiKey: customProvider.apiKey, model: customProvider.model, baseUrl: customProvider.baseUrl || undefined }) });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\SharedWorksheet.tsx","22","    fetch(`/api/data/shared/${token}`, { credentials: ""include"" })"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\SuperAdminUsers.tsx","77","        const res = await fetch(""/api/admin/users"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\SuperAdminUsers.tsx","101","      const res = await fetch(`/api/admin/users/${userId}`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\SuperAdminUsers.tsx","123","      const res = await fetch(`/api/admin/users/${userId}`, {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Templates.tsx","305","    fetch(""/api/diagram-library/entries"", { credentials: ""include"" })"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Worksheets.tsx","413","    fetch(""/api/diagram-library/revision-map-topics"", { credentials: ""include"" })"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Worksheets.tsx","755","      const res = await fetch(""/api/diagram-library/entries"", { credentials: ""include"" });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Worksheets.tsx","913","        const res = await fetch(""/api/revision/tts"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Worksheets.tsx","943","        const res = await fetch(""/api/revision/tts"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Worksheets.tsx","1190","        const libRes = await fetch(""/api/library/resolve"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Worksheets.tsx","1226","                const adjustRes = await fetch(""/api/ai/adjust-reading-level"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Worksheets.tsx","1596","          const diagLibRes = await fetch('/api/diagram-library/entries', { credentials: 'include' });"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Worksheets.tsx","1618","              const diagQRes = await fetch('/api/ai/diagram-questions', {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Worksheets.tsx","1703","            fetch(""/api/library/entries"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Worksheets.tsx","1739","            const response = await fetch(""/api/ai/diagnostic-starter"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Worksheets.tsx","1767","            const res = await fetch(""/api/ai/diagnostic-starter"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Worksheets.tsx","1892","        const res = await fetch(""/api/ai/adapt-worksheet"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Worksheets.tsx","1938","        const res = await fetch(""/api/ai/worksheet-from-slides"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Worksheets.tsx","2652","        const libRes = await fetch(""/api/library/resolve"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Worksheets.tsx","2678","                const adjustRes = await fetch(""/api/ai/adjust-reading-level"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Worksheets.tsx","2899","        const switchRes = await fetch(""/api/library/switch-tier"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Worksheets.tsx","2939","            const adjustRes = await fetch(""/api/ai/adjust-reading-level"", {"
"C:\Users\tanbi\Downloads\adaptly\send-assistant\client\src\pages\Worksheets.tsx","3015","            const sendRes = await fetch(""/api/ai/scaffold-worksheet"", {"
